ResourceTypeAcronym,AttributeName,InstanceName,AggregationStatisticCV,IntervalTimeUnitCV,UnitNameCV,YearType,YearMonth,TimeSeriesValueID,CountDays,CalenderYear,CumulativeMonthly
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,05/2001,18686,1,2001-05-01,253.884297521
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,06/2001,18687,1,2001-06-01,204.297520661
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,07/2001,18688,1,2001-07-01,470.082644628
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,08/2001,18689,1,2001-08-01,414.545454545
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,09/2001,18690,1,2001-09-01,119.008264463
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,05/2002,18691,1,2002-05-01,208.26446281
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,06/2002,18692,1,2002-06-01,234.049586777
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,07/2002,18693,1,2002-07-01,83.305785124
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,08/2002,18694,1,2002-08-01,238.016528926
BearRiverCommission,MONTHLY DISCHARGE IN CFS OF BEAR RIVER CANALS ,Bear River below Stewart Dam,Average,month,cubic feet per second,WaterYear,09/2002,18695,1,2002-09-01,166.611570248
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,10/1942,37782,31,1942-10-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,11/1942,37812,30,1942-11-30,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,12/1942,37843,31,1942-12-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,01/1943,37874,31,1943-01-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,02/1943,37902,28,1943-02-28,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,03/1943,37933,31,1943-03-31,
CUAHSI,"Discharge, cubic feet per second","BEAR RIVER BL STEWART DAM NR MONTPELIER, ID",Average,day,ft3/s,CalendarYear,04/1943,37963,30,1943-04-30,
